date,map,match_id,team_a,team_b,prior_maps_a,prior_maps_map_a,acs_overall_5_a,acs_map_5_a,acs_overall_10_a,acs_map_10_a,kast_overall_5_a,kast_map_5_a,kast_overall_10_a,kast_map_10_a,fk_fd_diff_overall_5_a,fk_fd_diff_map_5_a,fk_fd_diff_overall_10_a,fk_fd_diff_map_10_a,gun_rate_overall_5_a,gun_rate_map_5_a,gun_rate_overall_10_a,gun_rate_map_10_a,prior_maps_b,prior_maps_map_b,acs_overall_5_b,acs_map_5_b,acs_overall_10_b,acs_map_10_b,kast_overall_5_b,kast_map_5_b,kast_overall_10_b,kast_map_10_b,fk_fd_diff_overall_5_b,fk_fd_diff_map_5_b,fk_fd_diff_overall_10_b,fk_fd_diff_map_10_b,gun_rate_overall_5_b,gun_rate_map_5_b,gun_rate_overall_10_b,gun_rate_map_10_b,fk_fd_diff_overall_3_a,fk_fd_positive_rate_5_a,fk_fd_positive_rate_10_a,fk_fd_diff_overall_3_b,fk_fd_positive_rate_5_b,fk_fd_positive_rate_10_b,ranking_elo_sum_a,ranking_elo_sum_b,ranking_elo_trend_a,ranking_elo_trend_b,prior_maps_diff,prior_maps_map_diff,acs_overall_5_diff,acs_map_5_diff,acs_overall_10_diff,acs_map_10_diff,kast_overall_5_diff,kast_map_5_diff,kast_overall_10_diff,kast_map_10_diff,fk_fd_diff_overall_5_diff,fk_fd_diff_map_5_diff,fk_fd_diff_overall_10_diff,fk_fd_diff_map_10_diff,gun_rate_overall_5_diff,gun_rate_map_5_diff,gun_rate_overall_10_diff,gun_rate_map_10_diff,fk_fd_diff_overall_3_diff,fk_fd_positive_rate_5_diff,fk_fd_positive_rate_10_diff,ranking_elo_sum_diff,ranking_elo_trend_diff,target
2023-03-30,Fracture,173221_g117183,Team Vitality,KOI,4,1,185.3,145.6,185.3,145.6,68.3,46.6,68.3,46.6,-2.25,-7.0,-2.25,-7.0,0.295,0.133,0.295,0.133,3,0,207.4,,207.4,,72.467,,72.467,,0.0,,0.0,,0.355,,0.355,,0.667,0.5,0.5,0.0,0.667,0.667,5019.352,5005.073,-23.314,20.0,1,1,-22.1,,-22.1,,-4.167,,-4.167,,-2.25,,-2.25,,-0.06,,-0.06,,0.667,-0.167,-0.167,14.279,-43.314,1
2023-03-31,Haven,173222_g117186,FNATIC,BBL Esports,2,0,214.7,,214.7,,82.0,,82.0,,3.0,,3.0,,0.333,,0.333,,2,0,179.2,,179.2,,66.9,,66.9,,-8.5,,-8.5,,0.319,,0.319,,3.0,1.0,1.0,-8.5,0.0,0.0,5052.846,4949.847,32.846,-10.0,0,0,35.5,,35.5,,15.1,,15.1,,11.5,,11.5,,0.014,,0.014,,11.5,1.0,1.0,102.999,42.846,1
2023-03-31,Split,173223_g117189,Team Heretics,Karmine Corp,2,0,172.8,,172.8,,60.6,,60.6,,-5.5,,-5.5,,0.172,,0.172,,2,1,216.8,220.4,216.8,220.4,77.8,86.8,77.8,86.8,8.5,9.0,8.5,9.0,0.208,0.167,0.208,0.167,-5.5,0.0,0.0,8.5,1.0,1.0,4895.881,5072.453,68.884,40.0,0,-1,-44.0,,-44.0,,-17.2,,-17.2,,-14.0,,-14.0,,-0.036,,-0.036,,-14.0,-1.0,-1.0,-176.572,28.884,1
2023-03-31,Icebox,173223_g117188,Karmine Corp,Team Heretics,3,1,196.533,213.2,196.533,213.2,69.6,68.8,69.6,68.8,4.667,8.0,4.667,8.0,0.161,0.25,0.161,0.25,3,0,189.4,,189.4,,67.933,,67.933,,-2.667,,-2.667,,0.293,,0.293,,4.667,0.667,0.667,-2.667,0.333,0.333,5098.369,4881.116,36.227,-17.618,0,1,7.133,,7.133,,1.667,,1.667,,7.333,,7.333,,-0.132,,-0.132,,7.333,0.333,0.333,217.253,53.844,0
2023-03-31,Split,173222_g117187,BBL Esports,FNATIC,3,1,181.867,167.8,181.867,167.8,67.067,67.6,67.067,67.6,-7.0,-9.0,-7.0,-9.0,0.289,0.333,0.289,0.333,3,1,215.867,191.4,215.867,191.4,82.2,77.6,82.2,77.6,3.333,2.0,3.333,2.0,0.328,0.292,0.328,0.292,-7.0,0.0,0.0,3.333,1.0,1.0,4889.095,5120.32,-25.076,26.423,0,0,-34.0,-23.6,-34.0,-23.6,-15.133,-10.0,-15.133,-10.0,-10.333,-11.0,-10.333,-11.0,-0.04,0.042,-0.04,0.042,-10.333,-1.0,-1.0,-231.225,-51.499,0
2023-03-31,Ascent,173222_g117185,BBL Esports,FNATIC,4,0,185.6,,185.6,,68.85,,68.85,,-3.25,,-3.25,,0.289,,0.289,,4,0,216.15,,216.15,,80.0,,80.0,,0.5,,0.5,,0.33,,0.33,,-1.667,0.25,0.25,-0.667,0.75,0.75,4929.847,5062.846,-37.287,38.096,0,0,-30.55,,-30.55,,-11.15,,-11.15,,-3.75,,-3.75,,-0.04,,-0.04,,-1.0,-0.5,-0.5,-132.999,-75.383,1
2023-04-01,Lotus,184461_g119529,ZETA DIVISION,Rex Regum Qeon,2,0,172.0,,172.0,,69.4,,69.4,,0.0,,0.0,,0.111,,0.111,,2,1,191.0,182.8,191.0,182.8,69.4,71.6,69.4,71.6,0.5,-3.0,0.5,-3.0,0.094,0.053,0.094,0.053,0.0,0.0,0.0,0.5,0.5,0.5,4944.78,4958.703,14.315,-12.141,0,-1,-19.0,,-19.0,,0.0,,0.0,,-0.5,,-0.5,,0.017,,0.017,,-0.5,-0.5,-0.5,-13.923,26.456,1
2023-04-01,Ascent,184461_g119528,ZETA DIVISION,Rex Regum Qeon,3,1,189.0,180.4,189.0,180.4,73.267,68.8,73.267,68.8,0.667,0.0,0.667,0.0,0.204,0.111,0.204,0.111,3,0,184.867,,184.867,,66.267,,66.267,,-0.333,,-0.333,,0.119,,0.119,,0.667,0.333,0.333,-0.333,0.333,0.333,4957.025,4938.703,-20.453,-20.649,0,1,4.133,,4.133,,7.0,,7.0,,1.0,,1.0,,0.085,,0.085,,1.0,0.0,0.0,18.322,0.196,1
2023-04-01,Haven,184461_g119527,Rex Regum Qeon,ZETA DIVISION,4,0,188.0,,188.0,,69.75,,69.75,,-0.75,,-0.75,,0.165,,0.165,,4,0,190.8,,190.8,,73.9,,73.9,,1.0,,1.0,,0.229,,0.229,,-2.333,0.25,0.25,1.333,0.5,0.5,4959.904,4932.274,-21.305,-14.12,0,0,-2.8,,-2.8,,-4.15,,-4.15,,-1.75,,-1.75,,-0.064,,-0.064,,-3.667,-0.25,-0.25,27.63,-7.185,1
2023-04-01,Split,183774_g118924,Sentinels,100 Thieves,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4997.576,4980.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,17.576,0.0,0
2023-04-01,Ascent,183774_g118925,Sentinels,100 Thieves,1,0,218.8,,218.8,,70.6,,70.6,,-8.0,,-8.0,,0.385,,0.385,,1,0,200.0,,200.0,,71.6,,71.6,,8.0,,8.0,,0.231,,0.231,,-8.0,0.0,0.0,8.0,1.0,1.0,4976.928,4990.0,0.0,0.0,0,0,18.8,,18.8,,-1.0,,-1.0,,-16.0,,-16.0,,0.154,,0.154,,-16.0,-1.0,-1.0,-13.072,0.0,1
2023-04-01,Haven,184462_g119531,TALON,T1,3,0,196.267,,196.267,,69.4,,69.4,,-0.333,,-0.333,,0.211,,0.211,,3,1,205.0,167.2,205.0,167.2,74.8,63.6,74.8,63.6,-1.333,-7.0,-1.333,-7.0,0.247,0.059,0.247,0.059,-0.333,0.333,0.333,-1.333,0.333,0.333,4857.658,5121.104,14.588,9.294,0,-1,-8.733,,-8.733,,-5.4,,-5.4,,1.0,,1.0,,-0.036,,-0.036,,1.0,0.0,0.0,-263.446,5.294,0
2023-04-01,Ascent,184462_g119530,TALON,T1,4,1,197.55,185.6,197.55,185.6,68.35,66.8,68.35,66.8,0.5,-2.0,0.5,-2.0,0.211,0.222,0.211,0.222,4,0,208.65,,208.65,,76.05,,76.05,,-1.75,,-1.75,,0.264,,0.264,,1.333,0.5,0.5,-3.667,0.25,0.25,4940.271,5041.412,-29.541,38.015,0,1,-11.1,,-11.1,,-7.7,,-7.7,,2.25,,2.25,,-0.053,,-0.053,,5.0,0.25,0.25,-101.14,-67.556,0
2023-04-01,Split,183775_g118926,FURIA,KRÜ Esports,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,-0.0,-0.0,1
